Idade,Tarifa,Parch,Classe,Sexo,SibSp,Sobreviveu
22.0,7.25,0,3,Masculino,1,0.0
38.0,71.2833,0,1,Feminino,1,1.0
26.0,7.925,0,3,Feminino,0,1.0
35.0,53.1,0,1,Feminino,1,1.0
35.0,8.05,0,3,Masculino,0,0.0
28.0,8.4583,0,3,Masculino,0,0.0
54.0,51.8625,0,1,Masculino,0,0.0
2.0,21.075,1,3,Masculino,3,0.0
27.0,11.1333,2,3,Feminino,0,1.0
14.0,30.0708,0,2,Feminino,1,1.0
4.0,16.7,1,3,Feminino,1,1.0
58.0,26.55,0,1,Feminino,0,1.0
20.0,8.05,0,3,Masculino,0,0.0
39.0,31.275,5,3,Masculino,1,0.0
14.0,7.8542,0,3,Feminino,0,0.0
55.0,16.0,0,2,Feminino,0,1.0
2.0,29.125,1,3,Masculino,4,0.0
28.0,13.0,0,2,Masculino,0,1.0
31.0,18.0,0,3,Feminino,1,0.0
28.0,7.225,0,3,Feminino,0,1.0
35.0,26.0,0,2,Masculino,0,0.0
34.0,13.0,0,2,Masculino,0,1.0
15.0,8.0292,0,3,Feminino,0,1.0
28.0,35.5,0,1,Masculino,0,1.0
8.0,21.075,1,3,Feminino,3,0.0
38.0,31.3875,5,3,Feminino,1,1.0
28.0,7.225,0,3,Masculino,0,0.0
19.0,263.0,2,1,Masculino,3,0.0
28.0,7.8792,0,3,Feminino,0,1.0
28.0,7.8958,0,3,Masculino,0,0.0
40.0,27.7208,0,1,Masculino,0,0.0
28.0,146.5208,0,1,Feminino,1,1.0
28.0,7.75,0,3,Feminino,0,1.0
66.0,10.5,0,2,Masculino,0,0.0
28.0,82.1708,0,1,Masculino,1,0.0
42.0,52.0,0,1,Masculino,1,0.0
28.0,7.2292,0,3,Masculino,0,1.0
21.0,8.05,0,3,Masculino,0,0.0
18.0,18.0,0,3,Feminino,2,0.0
14.0,11.2417,0,3,Feminino,1,1.0
40.0,9.475,0,3,Feminino,1,0.0
27.0,21.0,0,2,Feminino,1,0.0
28.0,7.8958,0,3,Masculino,0,0.0
3.0,41.5792,2,2,Feminino,1,1.0
19.0,7.8792,0,3,Feminino,0,1.0
28.0,8.05,0,3,Masculino,0,0.0
28.0,15.5,0,3,Masculino,1,0.0
28.0,7.75,0,3,Feminino,0,1.0
28.0,21.6792,0,3,Masculino,2,0.0
18.0,17.8,0,3,Feminino,1,0.0
7.0,39.6875,1,3,Masculino,4,0.0
21.0,7.8,0,3,Masculino,0,0.0
49.0,76.7292,0,1,Feminino,1,1.0
29.0,26.0,0,2,Feminino,1,1.0
65.0,61.9792,1,1,Masculino,0,0.0
28.0,35.5,0,1,Masculino,0,1.0
21.0,10.5,0,2,Feminino,0,1.0
28.5,7.2292,0,3,Masculino,0,0.0
5.0,27.75,2,2,Feminino,1,1.0
11.0,46.9,2,3,Masculino,5,0.0
22.0,7.2292,0,3,Masculino,0,0.0
38.0,80.0,0,1,Feminino,0,1.0
45.0,83.475,0,1,Masculino,1,0.0
4.0,27.9,2,3,Masculino,3,0.0
28.0,27.7208,0,1,Masculino,0,0.0
28.0,15.2458,1,3,Masculino,1,1.0
29.0,10.5,0,2,Feminino,0,1.0
19.0,8.1583,0,3,Masculino,0,0.0
17.0,7.925,2,3,Feminino,4,1.0
26.0,8.6625,0,3,Masculino,2,0.0
32.0,10.5,0,2,Masculino,0,0.0
16.0,46.9,2,3,Feminino,5,0.0
21.0,73.5,0,2,Masculino,0,0.0
26.0,14.4542,0,3,Masculino,1,0.0
32.0,56.4958,0,3,Masculino,0,1.0
25.0,7.65,0,3,Masculino,0,0.0
28.0,7.8958,0,3,Masculino,0,0.0
28.0,8.05,0,3,Masculino,0,0.0
0.83,29.0,2,2,Masculino,0,1.0
30.0,12.475,0,3,Feminino,0,1.0
22.0,9.0,0,3,Masculino,0,0.0
29.0,9.5,0,3,Masculino,0,1.0
28.0,7.7875,0,3,Feminino,0,1.0
28.0,47.1,0,1,Masculino,0,0.0
17.0,10.5,0,2,Feminino,0,1.0
33.0,15.85,0,3,Feminino,3,1.0
16.0,34.375,3,3,Masculino,1,0.0
28.0,8.05,0,3,Masculino,0,0.0
23.0,263.0,2,1,Feminino,3,1.0
24.0,8.05,0,3,Masculino,0,0.0
29.0,8.05,0,3,Masculino,0,0.0
20.0,7.8542,0,3,Masculino,0,0.0
46.0,61.175,0,1,Masculino,1,0.0
26.0,20.575,2,3,Masculino,1,0.0
59.0,7.25,0,3,Masculino,0,0.0
28.0,8.05,0,3,Masculino,0,0.0
71.0,34.6542,0,1,Masculino,0,0.0
23.0,63.3583,1,1,Masculino,0,1.0
34.0,23.0,1,2,Feminino,0,1.0
34.0,26.0,0,2,Masculino,1,0.0
28.0,7.8958,0,3,Feminino,0,0.0
28.0,7.8958,0,3,Masculino,0,0.0
21.0,77.2875,1,1,Masculino,0,0.0
33.0,8.6542,0,3,Masculino,0,0.0
37.0,7.925,0,3,Masculino,2,0.0
28.0,7.8958,0,3,Masculino,0,0.0
21.0,7.65,0,3,Feminino,0,1.0
28.0,7.775,0,3,Masculino,0,1.0
38.0,7.8958,0,3,Masculino,0,0.0
28.0,24.15,0,3,Feminino,1,1.0
47.0,52.0,0,1,Masculino,0,0.0
14.5,14.4542,0,3,Feminino,1,0.0
22.0,8.05,0,3,Masculino,0,0.0
20.0,9.825,0,3,Feminino,1,0.0
17.0,14.4583,0,3,Feminino,0,0.0
21.0,7.925,0,3,Masculino,0,0.0
70.5,7.75,0,3,Masculino,0,0.0
29.0,21.0,0,2,Masculino,1,0.0
24.0,247.5208,1,1,Masculino,0,0.0
2.0,31.275,2,3,Feminino,4,0.0
21.0,73.5,0,2,Masculino,2,0.0
28.0,8.05,0,3,Masculino,0,0.0
32.5,30.0708,0,2,Masculino,1,0.0
32.5,13.0,0,2,Feminino,0,1.0
54.0,77.2875,1,1,Masculino,0,0.0
12.0,11.2417,0,3,Masculino,1,1.0
28.0,7.75,0,3,Masculino,0,0.0
24.0,7.1417,0,3,Masculino,0,1.0
28.0,22.3583,1,3,Feminino,1,1.0
45.0,6.975,0,3,Masculino,0,0.0
33.0,7.8958,0,3,Masculino,0,0.0
20.0,7.05,0,3,Masculino,0,0.0
47.0,14.5,0,3,Feminino,1,0.0
29.0,26.0,0,2,Feminino,1,1.0
25.0,13.0,0,2,Masculino,0,0.0
23.0,15.0458,0,2,Masculino,0,0.0
19.0,26.2833,2,1,Feminino,0,1.0
37.0,53.1,0,1,Masculino,1,0.0
16.0,9.2167,0,3,Masculino,0,0.0
24.0,79.2,0,1,Masculino,0,0.0
28.0,15.2458,2,3,Feminino,0,0.0
22.0,7.75,0,3,Feminino,0,1.0
24.0,15.85,0,3,Feminino,1,1.0
19.0,6.75,0,3,Masculino,0,0.0
18.0,11.5,0,2,Masculino,0,0.0
19.0,36.75,1,2,Masculino,1,0.0
27.0,7.7958,0,3,Masculino,0,1.0
9.0,34.375,2,3,Feminino,2,0.0
36.5,26.0,2,2,Masculino,0,0.0
42.0,13.0,0,2,Masculino,0,0.0
51.0,12.525,0,2,Masculino,0,0.0
22.0,66.6,0,1,Feminino,1,1.0
55.5,8.05,0,3,Masculino,0,0.0
40.5,14.5,2,3,Masculino,0,0.0
28.0,7.3125,0,3,Masculino,0,0.0
51.0,61.3792,1,1,Masculino,0,0.0
16.0,7.7333,0,3,Feminino,0,1.0
30.0,8.05,0,3,Masculino,0,0.0
28.0,8.6625,0,3,Masculino,0,0.0
28.0,69.55,2,3,Masculino,8,0.0
44.0,16.1,1,3,Masculino,0,0.0
40.0,15.75,0,2,Feminino,0,1.0
26.0,7.775,0,3,Masculino,0,0.0
17.0,8.6625,0,3,Masculino,0,0.0
1.0,39.6875,1,3,Masculino,4,0.0
9.0,20.525,2,3,Masculino,0,1.0
28.0,55.0,1,1,Feminino,0,1.0
45.0,27.9,4,3,Feminino,1,0.0
28.0,25.925,0,1,Masculino,0,0.0
28.0,56.4958,0,3,Masculino,0,0.0
61.0,33.5,0,1,Masculino,0,0.0
4.0,29.125,1,3,Masculino,4,0.0
1.0,11.1333,1,3,Feminino,1,1.0
21.0,7.925,0,3,Masculino,0,0.0
56.0,30.6958,0,1,Masculino,0,0.0
18.0,7.8542,1,3,Masculino,1,0.0
28.0,25.4667,1,3,Masculino,3,0.0
50.0,28.7125,0,1,Feminino,0,0.0
30.0,13.0,0,2,Masculino,0,0.0
36.0,0.0,0,3,Masculino,0,0.0
28.0,69.55,2,3,Feminino,8,0.0
28.0,15.05,0,2,Masculino,0,0.0
9.0,31.3875,2,3,Masculino,4,0.0
1.0,39.0,1,2,Masculino,2,1.0
4.0,22.025,2,3,Feminino,0,1.0
28.0,50.0,0,1,Masculino,0,0.0
28.0,15.5,0,3,Feminino,1,1.0
45.0,26.55,0,1,Masculino,0,1.0
40.0,15.5,1,3,Masculino,1,0.0
36.0,7.8958,0,3,Masculino,0,0.0
32.0,13.0,0,2,Feminino,0,1.0
19.0,13.0,0,2,Masculino,0,0.0
19.0,7.8542,0,3,Feminino,1,1.0
3.0,26.0,1,2,Masculino,1,1.0
44.0,27.7208,0,1,Feminino,0,1.0
58.0,146.5208,0,1,Feminino,0,1.0
28.0,7.75,0,3,Masculino,0,0.0
42.0,8.4042,1,3,Masculino,0,0.0
28.0,7.75,0,3,Feminino,0,1.0
24.0,13.0,0,2,Feminino,0,0.0
28.0,9.5,0,3,Masculino,0,0.0
28.0,69.55,2,3,Masculino,8,0.0
34.0,6.4958,0,3,Masculino,0,0.0
45.5,7.225,0,3,Masculino,0,0.0
18.0,8.05,0,3,Masculino,0,1.0
2.0,10.4625,1,3,Feminino,0,0.0
32.0,15.85,0,3,Masculino,1,0.0
26.0,18.7875,0,3,Masculino,0,1.0
16.0,7.75,0,3,Feminino,0,1.0
40.0,31.0,0,1,Masculino,0,1.0
24.0,7.05,0,3,Masculino,0,0.0
35.0,21.0,0,2,Feminino,0,1.0
22.0,7.25,0,3,Masculino,0,0.0
30.0,13.0,0,2,Masculino,0,0.0
28.0,7.75,0,3,Masculino,1,0.0
31.0,113.275,0,1,Feminino,1,1.0
27.0,7.925,0,3,Feminino,0,1.0
42.0,27.0,0,2,Masculino,1,0.0
32.0,76.2917,0,1,Feminino,0,1.0
30.0,10.5,0,2,Masculino,0,0.0
16.0,8.05,0,3,Masculino,0,1.0
27.0,13.0,0,2,Masculino,0,0.0
51.0,8.05,0,3,Masculino,0,0.0
28.0,7.8958,0,3,Masculino,0,0.0
38.0,90.0,0,1,Masculino,1,1.0
22.0,9.35,0,3,Masculino,0,0.0
19.0,10.5,0,2,Masculino,0,1.0
20.5,7.25,0,3,Masculino,0,0.0
18.0,13.0,0,2,Masculino,0,0.0
28.0,25.4667,1,3,Feminino,3,0.0
35.0,83.475,0,1,Feminino,1,1.0
29.0,7.775,0,3,Masculino,0,0.0
59.0,13.5,0,2,Masculino,0,0.0
5.0,31.3875,2,3,Feminino,4,1.0
24.0,10.5,0,2,Masculino,0,0.0
28.0,7.55,0,3,Feminino,0,0.0
44.0,26.0,0,2,Masculino,1,0.0
8.0,26.25,2,2,Feminino,0,1.0
19.0,10.5,0,2,Masculino,0,0.0
33.0,12.275,0,2,Masculino,0,0.0
28.0,14.4542,0,3,Feminino,1,0.0
28.0,15.5,0,3,Feminino,1,1.0
29.0,10.5,0,2,Masculino,0,0.0
22.0,7.125,0,3,Masculino,0,0.0
30.0,7.225,0,3,Masculino,0,0.0
44.0,90.0,0,1,Masculino,2,0.0
25.0,7.775,0,3,Feminino,0,0.0
24.0,14.5,2,2,Feminino,0,1.0
37.0,52.5542,1,1,Masculino,1,1.0
54.0,26.0,0,2,Masculino,1,0.0
28.0,7.25,0,3,Masculino,0,0.0
29.0,10.4625,1,3,Feminino,1,0.0
62.0,26.55,0,1,Masculino,0,0.0
30.0,16.1,0,3,Masculino,1,0.0
41.0,20.2125,2,3,Feminino,0,0.0
29.0,15.2458,2,3,Feminino,0,1.0
28.0,79.2,0,1,Feminino,0,1.0
30.0,86.5,0,1,Feminino,0,1.0
35.0,512.3292,0,1,Feminino,0,1.0
50.0,26.0,1,2,Feminino,0,1.0
28.0,7.75,0,3,Masculino,0,0.0
3.0,31.3875,2,3,Masculino,4,1.0
52.0,79.65,1,1,Masculino,1,0.0
40.0,0.0,0,1,Masculino,0,0.0
28.0,7.75,0,3,Feminino,0,0.0
36.0,10.5,0,2,Masculino,0,0.0
16.0,39.6875,1,3,Masculino,4,0.0
25.0,7.775,0,3,Masculino,1,1.0
58.0,153.4625,1,1,Feminino,0,1.0
35.0,135.6333,0,1,Feminino,0,1.0
28.0,31.0,0,1,Masculino,0,0.0
25.0,0.0,0,3,Masculino,0,1.0
41.0,19.5,1,2,Feminino,0,1.0
37.0,29.7,1,1,Masculino,0,0.0
28.0,7.75,0,3,Feminino,0,1.0
63.0,77.9583,0,1,Feminino,1,1.0
45.0,7.75,0,3,Feminino,0,0.0
28.0,0.0,0,2,Masculino,0,0.0
7.0,29.125,1,3,Masculino,4,0.0
35.0,20.25,1,3,Feminino,1,1.0
65.0,7.75,0,3,Masculino,0,0.0
28.0,7.8542,0,3,Masculino,0,0.0
16.0,9.5,0,3,Masculino,0,0.0
19.0,8.05,0,3,Masculino,0,1.0
28.0,26.0,0,1,Masculino,0,0.0
33.0,8.6625,0,3,Masculino,0,0.0
30.0,9.5,0,3,Masculino,0,1.0
22.0,7.8958,0,3,Masculino,0,0.0
42.0,13.0,0,2,Masculino,0,1.0
22.0,7.75,0,3,Feminino,0,1.0
26.0,78.85,0,1,Feminino,0,1.0
19.0,91.0792,0,1,Feminino,1,1.0
36.0,12.875,0,2,Masculino,0,0.0
24.0,8.85,0,3,Feminino,0,0.0
24.0,7.8958,0,3,Masculino,0,0.0
28.0,27.7208,0,1,Masculino,0,0.0
23.5,7.2292,0,3,Masculino,0,0.0
2.0,151.55,2,1,Feminino,1,0.0
28.0,30.5,0,1,Masculino,0,1.0
50.0,247.5208,1,1,Feminino,0,1.0
28.0,7.75,0,3,Feminino,0,1.0
28.0,23.25,0,3,Masculino,2,1.0
19.0,0.0,0,3,Masculino,0,0.0
28.0,12.35,0,2,Feminino,0,1.0
28.0,8.05,0,3,Masculino,0,0.0
0.92,151.55,2,1,Masculino,1,1.0
28.0,110.8833,0,1,Feminino,0,1.0
17.0,108.9,0,1,Feminino,1,1.0
30.0,24.0,0,2,Masculino,1,0.0
30.0,56.9292,0,1,Feminino,0,1.0
24.0,83.1583,0,1,Feminino,0,1.0
18.0,262.375,2,1,Feminino,2,1.0
26.0,26.0,1,2,Feminino,1,0.0
28.0,7.8958,0,3,Masculino,0,0.0
43.0,26.25,1,2,Masculino,1,0.0
26.0,7.8542,0,3,Feminino,0,1.0
24.0,26.0,0,2,Feminino,1,1.0
54.0,14.0,0,2,Masculino,0,0.0
31.0,164.8667,2,1,Feminino,0,1.0
40.0,134.5,1,1,Feminino,1,1.0
22.0,7.25,0,3,Masculino,0,0.0
27.0,7.8958,0,3,Masculino,0,0.0
30.0,12.35,0,2,Feminino,0,1.0
22.0,29.0,1,2,Feminino,1,1.0
28.0,69.55,2,3,Masculino,8,0.0
36.0,135.6333,0,1,Feminino,0,1.0
61.0,6.2375,0,3,Masculino,0,0.0
36.0,13.0,0,2,Feminino,0,1.0
31.0,20.525,1,3,Feminino,1,1.0
16.0,57.9792,1,1,Feminino,0,1.0
28.0,23.25,0,3,Feminino,2,1.0
45.5,28.5,0,1,Masculino,0,0.0
38.0,153.4625,1,1,Masculino,0,0.0
16.0,18.0,0,3,Masculino,2,0.0
28.0,133.65,0,1,Feminino,1,1.0
28.0,7.8958,0,3,Masculino,0,0.0
29.0,66.6,0,1,Masculino,1,0.0
41.0,134.5,0,1,Feminino,0,1.0
45.0,8.05,0,3,Masculino,0,1.0
45.0,35.5,0,1,Masculino,0,0.0
2.0,26.0,1,2,Masculino,1,1.0
24.0,263.0,2,1,Feminino,3,1.0
28.0,13.0,0,2,Masculino,0,0.0
25.0,13.0,0,2,Masculino,0,0.0
36.0,13.0,0,2,Masculino,0,0.0
24.0,13.0,0,2,Feminino,0,1.0
40.0,13.0,0,2,Feminino,0,1.0
28.0,16.1,0,3,Feminino,1,1.0
3.0,15.9,1,3,Masculino,1,1.0
42.0,8.6625,0,3,Masculino,0,0.0
23.0,9.225,0,3,Masculino,0,0.0
28.0,35.0,0,1,Masculino,0,0.0
15.0,7.2292,1,3,Masculino,1,0.0
25.0,17.8,0,3,Masculino,1,0.0
28.0,7.225,0,3,Masculino,0,0.0
28.0,9.5,0,3,Masculino,0,0.0
22.0,55.0,1,1,Feminino,0,1.0
38.0,13.0,0,2,Feminino,0,0.0
28.0,7.8792,0,3,Feminino,0,1.0
28.0,7.8792,0,3,Feminino,0,1.0
40.0,27.9,4,3,Masculino,1,0.0
29.0,27.7208,0,2,Masculino,1,0.0
45.0,14.4542,1,3,Feminino,0,0.0
35.0,7.05,0,3,Masculino,0,0.0
28.0,15.5,0,3,Masculino,1,0.0
30.0,7.25,0,3,Masculino,0,0.0
60.0,75.25,0,1,Feminino,1,1.0
28.0,7.2292,0,3,Feminino,0,1.0
28.0,7.75,0,3,Feminino,0,1.0
24.0,69.3,0,1,Feminino,0,1.0
25.0,55.4417,0,1,Masculino,1,1.0
18.0,6.4958,0,3,Masculino,1,0.0
19.0,8.05,0,3,Masculino,0,0.0
22.0,135.6333,0,1,Masculino,0,0.0
3.0,21.075,1,3,Feminino,3,0.0
28.0,82.1708,0,1,Feminino,1,1.0
22.0,7.25,0,3,Feminino,0,1.0
27.0,211.5,2,1,Masculino,0,0.0
20.0,4.0125,0,3,Masculino,0,0.0
19.0,7.775,0,3,Masculino,0,0.0
42.0,227.525,0,1,Feminino,0,1.0
1.0,15.7417,2,3,Feminino,0,1.0
32.0,7.925,0,3,Masculino,0,0.0
35.0,52.0,0,1,Feminino,1,1.0
28.0,7.8958,0,3,Masculino,0,0.0
18.0,73.5,0,2,Masculino,0,0.0
1.0,46.9,2,3,Masculino,5,0.0
36.0,13.0,0,2,Feminino,0,1.0
28.0,7.7292,0,3,Masculino,0,0.0
17.0,12.0,0,2,Feminino,0,1.0
36.0,120.0,2,1,Masculino,1,1.0
21.0,7.7958,0,3,Masculino,0,1.0
28.0,7.925,0,3,Masculino,2,0.0
23.0,113.275,0,1,Feminino,1,1.0
24.0,16.7,2,3,Feminino,0,1.0
22.0,7.7958,0,3,Masculino,0,0.0
31.0,7.8542,0,3,Feminino,0,0.0
46.0,26.0,0,2,Masculino,0,0.0
23.0,10.5,0,2,Masculino,0,0.0
28.0,12.65,0,2,Feminino,0,1.0
39.0,7.925,0,3,Masculino,0,1.0
26.0,8.05,0,3,Masculino,0,0.0
21.0,9.825,0,3,Feminino,1,0.0
28.0,15.85,0,3,Masculino,1,0.0
20.0,8.6625,0,3,Feminino,0,0.0
34.0,21.0,0,2,Masculino,1,0.0
51.0,7.75,0,3,Masculino,0,0.0
3.0,18.75,1,2,Masculino,1,1.0
21.0,7.775,0,3,Masculino,0,0.0
28.0,25.4667,1,3,Feminino,3,0.0
28.0,7.8958,0,3,Masculino,0,0.0
28.0,6.8583,0,3,Masculino,0,0.0
33.0,90.0,0,1,Feminino,1,1.0
28.0,0.0,0,2,Masculino,0,0.0
44.0,7.925,0,3,Masculino,0,1.0
28.0,8.05,0,3,Feminino,0,0.0
34.0,32.5,1,2,Feminino,1,1.0
18.0,13.0,2,2,Feminino,0,1.0
30.0,13.0,0,2,Masculino,0,0.0
10.0,24.15,2,3,Feminino,0,0.0
28.0,7.8958,0,3,Masculino,0,0.0
21.0,7.7333,0,3,Masculino,0,0.0
