Idade,Tarifa,Parch,Classe,Sexo,SibSp,Sobreviveu
29.0,7.875,0,3,Masculino,0,0.0
28.0,14.4,1,3,Feminino,1,0.0
18.0,20.2125,1,3,Masculino,1,0.0
28.0,7.25,0,3,Masculino,0,0.0
28.0,26.0,0,2,Feminino,1,1.0
19.0,26.0,0,2,Feminino,0,1.0
28.0,7.75,0,3,Masculino,0,0.0
32.0,8.05,0,3,Masculino,0,1.0
28.0,26.55,0,1,Masculino,0,1.0
28.0,16.1,0,3,Feminino,1,1.0
42.0,26.0,0,2,Feminino,1,1.0
17.0,7.125,0,3,Masculino,0,0.0
50.0,55.9,0,1,Masculino,1,0.0
14.0,120.0,2,1,Feminino,1,1.0
21.0,34.375,2,3,Feminino,2,0.0
24.0,18.75,3,2,Feminino,2,1.0
64.0,263.0,4,1,Masculino,1,0.0
31.0,10.5,0,2,Masculino,0,0.0
45.0,26.25,1,2,Feminino,1,1.0
20.0,9.5,0,3,Masculino,0,0.0
25.0,7.775,0,3,Masculino,1,0.0
28.0,13.0,0,2,Feminino,0,1.0
28.0,8.1125,0,3,Masculino,0,1.0
4.0,81.8583,2,1,Masculino,0,1.0
13.0,19.5,1,2,Feminino,0,1.0
34.0,26.55,0,1,Masculino,0,1.0
5.0,19.2583,1,3,Feminino,2,1.0
52.0,30.5,0,1,Masculino,0,1.0
36.0,27.75,2,2,Masculino,1,0.0
28.0,19.9667,0,3,Masculino,1,0.0
30.0,27.75,0,1,Masculino,0,0.0
49.0,89.1042,0,1,Masculino,1,1.0
28.0,8.05,0,3,Masculino,0,0.0
29.0,7.8958,0,3,Masculino,0,1.0
65.0,26.55,0,1,Masculino,0,0.0
28.0,51.8625,0,1,Feminino,1,1.0
50.0,10.5,0,2,Feminino,0,1.0
28.0,7.75,0,3,Masculino,0,0.0
48.0,26.55,0,1,Masculino,0,1.0
34.0,8.05,0,3,Masculino,0,0.0
47.0,38.5,0,1,Masculino,0,0.0
48.0,13.0,0,2,Masculino,0,0.0
28.0,8.05,0,3,Masculino,0,0.0
38.0,7.05,0,3,Masculino,0,0.0
28.0,0.0,0,2,Masculino,0,0.0
56.0,26.55,0,1,Masculino,0,0.0
28.0,7.725,0,3,Masculino,0,0.0
0.75,19.2583,1,3,Feminino,2,1.0
28.0,7.25,0,3,Masculino,0,0.0
38.0,8.6625,0,3,Masculino,0,0.0
33.0,27.75,2,2,Feminino,1,1.0
23.0,13.7917,0,2,Feminino,0,1.0
22.0,9.8375,0,3,Feminino,0,0.0
28.0,52.0,0,1,Masculino,0,0.0
34.0,21.0,0,2,Masculino,1,0.0
29.0,7.0458,0,3,Masculino,1,0.0
22.0,7.5208,0,3,Masculino,0,0.0
2.0,12.2875,1,3,Feminino,0,1.0
9.0,46.9,2,3,Masculino,5,0.0
28.0,0.0,0,2,Masculino,0,0.0
50.0,8.05,0,3,Masculino,0,0.0
63.0,9.5875,0,3,Feminino,0,1.0
25.0,91.0792,0,1,Masculino,1,1.0
28.0,25.4667,1,3,Feminino,3,0.0
35.0,90.0,0,1,Feminino,1,1.0
58.0,29.7,0,1,Masculino,0,0.0
30.0,8.05,0,3,Masculino,0,0.0
9.0,15.9,1,3,Masculino,1,1.0
28.0,19.9667,0,3,Masculino,1,0.0
21.0,7.25,0,3,Masculino,0,0.0
55.0,30.5,0,1,Masculino,0,0.0
71.0,49.5042,0,1,Masculino,0,0.0
21.0,8.05,0,3,Masculino,0,0.0
28.0,14.4583,0,3,Masculino,0,0.0
54.0,78.2667,0,1,Feminino,1,1.0
28.0,15.1,0,3,Masculino,0,0.0
25.0,151.55,2,1,Feminino,1,0.0
24.0,7.7958,0,3,Masculino,0,0.0
17.0,8.6625,0,3,Masculino,0,0.0
21.0,7.75,0,3,Feminino,0,0.0
28.0,7.6292,0,3,Feminino,0,0.0
37.0,9.5875,0,3,Feminino,0,0.0
16.0,86.5,0,1,Feminino,0,1.0
18.0,108.9,0,1,Masculino,1,0.0
33.0,26.0,2,2,Feminino,0,1.0
28.0,26.55,0,1,Masculino,0,1.0
28.0,22.525,0,3,Masculino,0,0.0
26.0,56.4958,0,3,Masculino,0,1.0
29.0,7.75,0,3,Masculino,0,1.0
28.0,8.05,0,3,Masculino,0,0.0
36.0,26.2875,0,1,Masculino,0,1.0
54.0,59.4,0,1,Feminino,1,1.0
24.0,7.4958,0,3,Masculino,0,0.0
47.0,34.0208,0,1,Masculino,0,0.0
34.0,10.5,0,2,Feminino,0,1.0
28.0,24.15,0,3,Masculino,0,0.0
36.0,26.0,0,2,Feminino,1,1.0
32.0,7.8958,0,3,Masculino,0,0.0
30.0,93.5,0,1,Feminino,0,1.0
22.0,7.8958,0,3,Masculino,0,0.0
28.0,7.225,0,3,Masculino,0,0.0
44.0,57.9792,1,1,Feminino,0,1.0
28.0,7.2292,0,3,Masculino,0,0.0
40.5,7.75,0,3,Masculino,0,0.0
50.0,10.5,0,2,Feminino,0,1.0
28.0,221.7792,0,1,Masculino,0,0.0
39.0,7.925,0,3,Masculino,0,0.0
23.0,11.5,1,2,Masculino,2,0.0
2.0,26.0,1,2,Feminino,1,1.0
28.0,7.2292,0,3,Masculino,0,0.0
17.0,7.2292,1,3,Masculino,1,0.0
28.0,22.3583,2,3,Feminino,0,1.0
30.0,8.6625,0,3,Feminino,0,0.0
7.0,26.25,2,2,Feminino,0,1.0
45.0,26.55,0,1,Masculino,0,0.0
30.0,106.425,0,1,Feminino,0,1.0
28.0,14.5,0,3,Masculino,0,0.0
22.0,49.5,2,1,Feminino,0,1.0
36.0,71.0,2,1,Feminino,0,1.0
9.0,31.275,2,3,Feminino,4,0.0
11.0,31.275,2,3,Feminino,4,0.0
32.0,26.0,0,2,Masculino,1,1.0
50.0,106.425,0,1,Masculino,1,0.0
64.0,26.0,0,1,Masculino,0,0.0
19.0,26.0,0,2,Feminino,1,1.0
28.0,13.8625,0,2,Masculino,0,1.0
33.0,20.525,1,3,Masculino,1,0.0
8.0,36.75,1,2,Masculino,1,1.0
17.0,110.8833,2,1,Masculino,0,1.0
27.0,26.0,0,2,Masculino,0,0.0
28.0,7.8292,0,3,Masculino,0,0.0
22.0,7.225,0,3,Masculino,0,1.0
22.0,7.775,0,3,Feminino,0,1.0
62.0,26.55,0,1,Masculino,0,0.0
48.0,39.6,0,1,Feminino,1,1.0
28.0,227.525,0,1,Masculino,0,0.0
39.0,79.65,1,1,Feminino,1,1.0
36.0,17.4,0,3,Feminino,1,1.0
28.0,7.75,0,3,Masculino,0,0.0
40.0,7.8958,0,3,Masculino,0,0.0
28.0,13.5,0,2,Masculino,0,0.0
28.0,8.05,0,3,Masculino,0,0.0
28.0,8.05,0,3,Feminino,0,0.0
24.0,24.15,0,3,Masculino,2,0.0
19.0,7.8958,0,3,Masculino,0,0.0
29.0,21.075,4,3,Feminino,0,0.0
28.0,7.2292,0,3,Masculino,0,0.0
32.0,7.8542,0,3,Masculino,0,1.0
62.0,10.5,0,2,Masculino,0,1.0
53.0,51.4792,0,1,Feminino,2,1.0
36.0,26.3875,0,1,Masculino,0,1.0
28.0,7.75,0,3,Feminino,0,1.0
16.0,8.05,0,3,Masculino,0,0.0
19.0,14.5,0,3,Masculino,0,0.0
34.0,13.0,0,2,Feminino,0,1.0
39.0,55.9,0,1,Feminino,1,1.0
28.0,14.4583,0,3,Feminino,1,0.0
32.0,7.925,0,3,Masculino,0,1.0
25.0,30.0,1,2,Feminino,1,1.0
39.0,110.8833,1,1,Feminino,1,1.0
54.0,26.0,0,2,Masculino,0,0.0
36.0,40.125,0,1,Masculino,0,0.0
28.0,8.7125,0,3,Masculino,0,0.0
18.0,79.65,2,1,Feminino,0,1.0
47.0,15.0,0,2,Masculino,0,0.0
60.0,79.2,1,1,Masculino,1,1.0
22.0,8.05,0,3,Masculino,0,0.0
28.0,8.05,0,3,Masculino,0,0.0
35.0,7.125,0,3,Masculino,0,0.0
52.0,78.2667,0,1,Feminino,1,1.0
47.0,7.25,0,3,Masculino,0,0.0
28.0,7.75,2,3,Feminino,0,0.0
37.0,26.0,0,2,Masculino,1,0.0
36.0,24.15,1,3,Masculino,1,0.0
28.0,33.0,0,2,Feminino,0,1.0
49.0,0.0,0,3,Masculino,0,0.0
28.0,7.225,0,3,Masculino,0,0.0
49.0,56.9292,0,1,Masculino,1,1.0
24.0,27.0,1,2,Feminino,2,1.0
28.0,7.8958,0,3,Masculino,0,0.0
28.0,42.4,0,1,Masculino,0,0.0
44.0,8.05,0,3,Masculino,0,0.0
35.0,26.55,0,1,Masculino,0,1.0
36.0,15.55,0,3,Masculino,1,0.0
30.0,7.8958,0,3,Masculino,0,0.0
27.0,30.5,0,1,Masculino,0,1.0
22.0,41.5792,2,2,Feminino,1,1.0
40.0,153.4625,0,1,Feminino,0,1.0
39.0,31.275,5,3,Feminino,1,0.0
28.0,7.05,0,3,Masculino,0,0.0
28.0,15.5,0,3,Feminino,1,1.0
28.0,7.75,0,3,Masculino,0,0.0
35.0,8.05,0,3,Masculino,0,0.0
24.0,65.0,2,2,Feminino,1,1.0
34.0,14.4,1,3,Masculino,1,0.0
26.0,16.1,0,3,Feminino,1,0.0
4.0,39.0,1,2,Feminino,2,1.0
26.0,10.5,0,2,Masculino,0,0.0
27.0,14.4542,0,3,Masculino,1,0.0
42.0,52.5542,0,1,Masculino,1,1.0
20.0,15.7417,1,3,Masculino,1,1.0
21.0,7.8542,0,3,Masculino,0,0.0
21.0,16.1,0,3,Masculino,0,0.0
61.0,32.3208,0,1,Masculino,0,0.0
57.0,12.35,0,2,Masculino,0,0.0
21.0,77.9583,0,1,Feminino,0,1.0
26.0,7.8958,0,3,Masculino,0,0.0
28.0,7.7333,0,3,Masculino,0,0.0
80.0,30.0,0,1,Masculino,0,1.0
51.0,7.0542,0,3,Masculino,0,0.0
32.0,30.5,0,1,Masculino,0,1.0
28.0,0.0,0,1,Masculino,0,0.0
9.0,27.9,2,3,Feminino,3,0.0
28.0,13.0,0,2,Feminino,0,1.0
32.0,7.925,0,3,Masculino,0,0.0
31.0,26.25,1,2,Masculino,1,0.0
41.0,39.6875,5,3,Feminino,0,0.0
28.0,16.1,0,3,Masculino,1,0.0
20.0,7.8542,0,3,Masculino,0,0.0
24.0,69.3,0,1,Feminino,0,1.0
2.0,27.9,2,3,Feminino,3,0.0
28.0,56.4958,0,3,Masculino,0,1.0
0.75,19.2583,1,3,Feminino,2,1.0
48.0,76.7292,0,1,Masculino,1,1.0
19.0,7.8958,0,3,Masculino,0,0.0
56.0,35.5,0,1,Masculino,0,1.0
28.0,7.55,0,3,Masculino,0,0.0
23.0,7.55,0,3,Feminino,0,1.0
28.0,7.8958,0,3,Masculino,0,0.0
18.0,23.0,1,2,Feminino,0,1.0
21.0,8.4333,0,3,Masculino,0,0.0
28.0,7.8292,0,3,Feminino,0,1.0
18.0,6.75,0,3,Feminino,0,0.0
24.0,73.5,0,2,Masculino,2,0.0
28.0,7.8958,0,3,Masculino,0,0.0
32.0,15.5,1,3,Feminino,1,0.0
23.0,13.0,0,2,Masculino,0,0.0
58.0,113.275,2,1,Masculino,0,0.0
50.0,133.65,0,1,Masculino,2,1.0
40.0,7.225,0,3,Masculino,0,0.0
47.0,25.5875,0,1,Masculino,0,0.0
36.0,7.4958,0,3,Masculino,0,0.0
20.0,7.925,0,3,Masculino,1,1.0
32.0,73.5,0,2,Masculino,2,0.0
25.0,13.0,0,2,Masculino,0,0.0
28.0,7.775,0,3,Masculino,0,0.0
43.0,8.05,0,3,Masculino,0,0.0
28.0,52.0,0,1,Feminino,1,1.0
40.0,39.0,1,2,Feminino,1,1.0
31.0,52.0,0,1,Masculino,1,0.0
70.0,10.5,0,2,Masculino,0,0.0
31.0,13.0,0,2,Masculino,0,1.0
28.0,0.0,0,2,Masculino,0,0.0
18.0,7.775,0,3,Masculino,0,0.0
24.5,8.05,0,3,Masculino,0,0.0
18.0,9.8417,0,3,Feminino,0,1.0
43.0,46.9,6,3,Feminino,1,0.0
36.0,512.3292,1,1,Masculino,0,1.0
28.0,8.1375,0,3,Feminino,0,0.0
27.0,76.7292,0,1,Masculino,0,1.0
20.0,9.225,0,3,Masculino,0,0.0
14.0,46.9,2,3,Masculino,5,0.0
60.0,39.0,1,2,Masculino,1,0.0
25.0,41.5792,2,2,Masculino,1,0.0
14.0,39.6875,1,3,Masculino,4,0.0
19.0,10.1708,0,3,Masculino,0,0.0
18.0,7.7958,0,3,Masculino,0,0.0
15.0,211.3375,1,1,Feminino,0,1.0
31.0,57.0,0,1,Masculino,1,1.0
4.0,13.4167,1,3,Feminino,0,1.0
28.0,56.4958,0,3,Masculino,0,1.0
25.0,7.225,0,3,Masculino,0,0.0
60.0,26.55,0,1,Masculino,0,0.0
52.0,13.5,0,2,Masculino,0,0.0
44.0,8.05,0,3,Masculino,0,0.0
28.0,7.7333,0,3,Feminino,0,1.0
49.0,110.8833,1,1,Masculino,1,0.0
42.0,7.65,0,3,Masculino,0,0.0
18.0,227.525,0,1,Feminino,1,1.0
35.0,26.2875,0,1,Masculino,0,1.0
18.0,14.4542,1,3,Feminino,0,0.0
25.0,7.7417,0,3,Masculino,0,0.0
26.0,7.8542,0,3,Masculino,1,0.0
39.0,26.0,0,2,Masculino,0,0.0
45.0,13.5,0,2,Feminino,0,1.0
42.0,26.2875,0,1,Masculino,0,1.0
22.0,151.55,0,1,Feminino,0,1.0
28.0,15.2458,1,3,Masculino,1,1.0
24.0,49.5042,0,1,Feminino,0,1.0
28.0,26.55,0,1,Masculino,0,0.0
48.0,52.0,0,1,Masculino,1,1.0
29.0,9.4833,0,3,Masculino,0,0.0
52.0,13.0,0,2,Masculino,0,0.0
19.0,7.65,0,3,Masculino,0,0.0
38.0,227.525,0,1,Feminino,0,1.0
27.0,10.5,0,2,Feminino,0,1.0
28.0,15.5,0,3,Masculino,0,0.0
33.0,7.775,0,3,Masculino,0,0.0
6.0,33.0,1,2,Feminino,0,1.0
17.0,7.0542,0,3,Masculino,1,0.0
34.0,13.0,0,2,Masculino,0,0.0
50.0,13.0,0,2,Masculino,0,0.0
27.0,53.1,0,1,Masculino,1,1.0
20.0,8.6625,0,3,Masculino,0,0.0
30.0,21.0,0,2,Feminino,3,1.0
28.0,7.7375,0,3,Feminino,0,1.0
25.0,26.0,0,2,Masculino,1,0.0
25.0,7.925,0,3,Feminino,1,0.0
29.0,211.3375,0,1,Feminino,0,1.0
11.0,18.7875,0,3,Masculino,0,0.0
28.0,0.0,0,2,Masculino,0,0.0
23.0,13.0,0,2,Masculino,0,0.0
23.0,13.0,0,2,Masculino,0,0.0
28.5,16.1,0,3,Masculino,0,0.0
48.0,34.375,3,3,Feminino,1,0.0
35.0,512.3292,0,1,Masculino,0,1.0
28.0,7.8958,0,3,Masculino,0,0.0
28.0,7.8958,0,3,Masculino,0,0.0
28.0,30.0,0,1,Masculino,0,1.0
36.0,78.85,0,1,Masculino,1,0.0
21.0,262.375,2,1,Feminino,2,1.0
24.0,16.1,0,3,Masculino,1,0.0
31.0,7.925,0,3,Masculino,0,1.0
70.0,71.0,1,1,Masculino,1,0.0
16.0,20.25,1,3,Masculino,1,0.0
30.0,13.0,0,2,Feminino,0,1.0
19.0,53.1,0,1,Masculino,1,0.0
31.0,7.75,0,3,Masculino,0,0.0
4.0,23.0,1,2,Feminino,1,1.0
6.0,12.475,1,3,Masculino,0,1.0
33.0,9.5,0,3,Masculino,0,0.0
23.0,7.8958,0,3,Masculino,0,0.0
48.0,65.0,2,2,Feminino,1,1.0
0.67,14.5,1,2,Masculino,1,1.0
28.0,7.7958,0,3,Masculino,0,0.0
18.0,11.5,0,2,Masculino,0,0.0
34.0,8.05,0,3,Masculino,0,0.0
33.0,86.5,0,1,Feminino,0,1.0
28.0,14.5,0,3,Masculino,0,0.0
41.0,7.125,0,3,Masculino,0,0.0
20.0,7.2292,0,3,Masculino,0,1.0
36.0,120.0,2,1,Feminino,1,1.0
16.0,7.775,0,3,Masculino,0,0.0
51.0,77.9583,0,1,Feminino,1,1.0
28.0,39.6,0,1,Masculino,0,0.0
30.5,7.75,0,3,Feminino,0,0.0
28.0,24.15,0,3,Masculino,1,0.0
32.0,8.3625,0,3,Masculino,0,0.0
24.0,9.5,0,3,Masculino,0,0.0
48.0,7.8542,0,3,Masculino,0,0.0
57.0,10.5,0,2,Feminino,0,0.0
28.0,7.225,0,3,Masculino,0,0.0
54.0,23.0,3,2,Feminino,1,1.0
18.0,7.75,0,3,Masculino,0,0.0
28.0,7.75,0,3,Masculino,0,0.0
5.0,12.475,0,3,Feminino,0,1.0
28.0,7.7375,0,3,Masculino,0,0.0
43.0,211.3375,1,1,Feminino,0,1.0
13.0,7.2292,0,3,Feminino,0,1.0
17.0,57.0,0,1,Feminino,1,1.0
29.0,30.0,0,1,Masculino,0,0.0
28.0,23.45,2,3,Masculino,1,0.0
25.0,7.05,0,3,Masculino,0,0.0
25.0,7.25,0,3,Masculino,0,0.0
18.0,7.4958,0,3,Feminino,0,1.0
8.0,29.125,1,3,Masculino,4,0.0
1.0,20.575,2,3,Masculino,1,1.0
46.0,79.2,0,1,Masculino,0,0.0
28.0,7.75,0,3,Masculino,0,0.0
16.0,26.0,0,2,Masculino,0,0.0
28.0,69.55,2,3,Feminino,8,0.0
28.0,30.6958,0,1,Masculino,0,0.0
25.0,7.8958,0,3,Masculino,0,0.0
39.0,13.0,0,2,Masculino,0,0.0
49.0,25.9292,0,1,Feminino,0,1.0
31.0,8.6833,0,3,Feminino,0,1.0
30.0,7.2292,0,3,Masculino,0,0.0
30.0,24.15,1,3,Feminino,1,0.0
34.0,13.0,0,2,Masculino,0,0.0
31.0,26.25,1,2,Feminino,1,1.0
11.0,120.0,2,1,Masculino,1,1.0
0.42,8.5167,1,3,Masculino,0,1.0
27.0,6.975,0,3,Masculino,0,1.0
31.0,7.775,0,3,Masculino,0,0.0
39.0,0.0,0,1,Masculino,0,0.0
18.0,7.775,0,3,Feminino,0,0.0
39.0,13.0,0,2,Masculino,0,0.0
33.0,53.1,0,1,Feminino,1,1.0
26.0,7.8875,0,3,Masculino,0,0.0
39.0,24.15,0,3,Masculino,0,0.0
35.0,10.5,0,2,Masculino,0,0.0
6.0,31.275,2,3,Feminino,4,0.0
30.5,8.05,0,3,Masculino,0,0.0
28.0,0.0,0,1,Masculino,0,0.0
23.0,7.925,0,3,Feminino,0,0.0
31.0,37.0042,1,2,Masculino,1,0.0
43.0,6.45,0,3,Masculino,0,0.0
10.0,27.9,2,3,Masculino,3,0.0
52.0,93.5,1,1,Feminino,1,1.0
27.0,8.6625,0,3,Masculino,0,1.0
38.0,0.0,0,1,Masculino,0,0.0
27.0,12.475,1,3,Feminino,0,1.0
2.0,39.6875,1,3,Masculino,4,0.0
28.0,6.95,0,3,Masculino,0,0.0
28.0,56.4958,0,3,Masculino,0,0.0
1.0,37.0042,2,2,Masculino,0,1.0
28.0,7.75,0,3,Masculino,0,1.0
62.0,80.0,0,1,Feminino,0,1.0
15.0,14.4542,0,3,Feminino,1,1.0
0.83,18.75,1,2,Masculino,1,1.0
28.0,7.2292,0,3,Masculino,0,0.0
23.0,7.8542,0,3,Masculino,0,0.0
18.0,8.3,0,3,Masculino,0,0.0
39.0,83.1583,1,1,Feminino,1,1.0
21.0,8.6625,0,3,Masculino,0,0.0
28.0,8.05,0,3,Masculino,0,0.0
32.0,56.4958,0,3,Masculino,0,1.0
28.0,29.7,0,1,Masculino,0,1.0
20.0,7.925,0,3,Masculino,0,0.0
16.0,10.5,0,2,Masculino,0,0.0
30.0,31.0,0,1,Feminino,0,1.0
34.5,6.4375,0,3,Masculino,0,0.0
17.0,8.6625,0,3,Masculino,0,0.0
